Mn54,Co57,Co60,Zn65,Nb94,Ru106,Ag108m,Ag110m,Sb125,Cs134,Cs137,Ba133,Ce144,Eu152,Eu154,Eu155,Fe55,Ni63,Sr90,U234,U238,U235,Pu239Pu240,Pu238,Pu241,Am241,Cm242,Cm244,Ni59,H3,U233,C14
1.0,10.0,1.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,1.0,100.0,1.0,1.0,10.0,100.0,100.0,1.0,1.0,1.0,1.0,0.1,0.1,10.0,0.1,1.0,0.1,100.0,100.0,1.0,100.0
0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.0,0.1,0.1,1.0,1000.0,100.0,1.0,1.0,1.0,1.0,0.1,0.1,10.0,0.1,10.0,1.0,100.0,100.0,0.4,80.0
0.3,3.0,0.09,0.4,0.1,1.0,0.1,0.08,0.5,0.1,0.4,100.0,5.0,0.2,0.2,8.0,200.0,300.0,0.6,0.4,0.4,0.3,0.08,0.08,2.0,0.05,0.7,0.08,300.0,60.0,0.3,10.0
0.09,0.8,0.03,0.01,0.05,0.3,0.007,0.007,0.08,0.05,0.06,100.0,0.4,0.07,0.06,2.0,6.0,3.0,0.002,10.0,10.0,10.0,0.04,0.06,4.0,0.06,0.4,0.08,8.0,3.0,10.0,0.04
1.0,10.0,0.4,2.0,0.5,6.0,0.5,0.5,2.0,0.6,2.0,100.0,30.0,0.8,0.7,20.0,1000.0,1000.0,30.0,1.0,2.0,1.0,0.1,0.1,10.0,0.1,1.0,0.1,1000.0,1000.0,1.0,1000.0
10.0,100.0,6.0,10.0,10.0,70.0,9.0,6.0,40.0,10.0,10.0,40.0,100.0,10.0,10.0,100.0,10000.0,10000.0,6.0,6.0,6.0,3.0,1.0,1.0,100.0,1.0,80.0,10.0,3000.0,60000.0,5.0,4000.0
6.0,50.0,2.0,8.0,3.0,20.0,1.0,2.0,10.0,3.0,8.0,10.0,100.0,4.0,4.0,100.0,7000.0,1000.0,0.6,0.6,0.6,0.3,0.5,1.0,40.0,1.0,20.0,5.0,300.0,6000.0,0.5,400.0
10.0,100.0,7.0,10.0,10.0,100.0,10.0,6.0,40.0,10.0,10.0,80.0,100.0,10.0,10.0,100.0,10000.0,60000.0,40.0,10.0,10.0,4.0,1.0,1.0,100.0,1.0,100.0,10.0,10000.0,1.0e6,10.0,10000.0
6.0,50.0,2.0,3.0,3.0,20.0,1.0,0.6,4.0,1.0,3.0,10.0,100.0,4.0,4.0,100.0,10000.0,6000.0,4.0,2.0,5.0,0.4,1.0,1.0,100.0,1.0,50.0,10.0,3000.0,1.0e6,4.0,10000.0
10.0,100.0,3.0,20.0,4.0,50.0,4.0,4.0,20.0,5.0,10.0,100.0,200.0,6.0,6.0,300.0,20000.0,40000.0,30.0,10.0,10.0,10.0,2.0,3.0,90.0,3.0,40.0,5.0,9000.0,4000.0,10.0,6000.0
2.0,20.0,0.6,0.5,0.4,1.0,0.8,0.5,3.0,0.2,0.6,2.0,10.0,0.5,0.5,30.0,10000.0,10000.0,9.0,2.0,2.0,0.8,0.2,0.3,10.0,0.3,5.0,0.5,10000.0,1000.0,3.0,80.0
0.1,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.1,10.0,0.1,0.1,1.0,1000.0,100.0,1.0,1.0,1.0,1.0,0.1,0.1,10.0,0.1,10.0,1.0,100.0,100.0,0.4,80.0
0.4,20.0,0.1,0.5,0.2,1.0,0.2,0.1,0.8,0.2,0.5,1.0,9.0,0.2,0.2,30.0,200.0,300.0,0.6,0.5,0.6,0.3,0.04,0.04,2.0,0.05,0.8,0.08,300.0,1000.0,0.4,80.0
